"Daisenryaku II - Campaign Version / CAMPAIGN VERSION 大戦略II","daisenryaku-ii-campaign-version","JP","SCD",1992,"Micro Cabin/System Soft / マイクロキャビン/システムソフト"
"De Ja / デ・ジャ","de-ja","JP","SCD",1996,"NEC Interchannel/elf / NECインターチャネル/エルフ"
"Dead of the Brain 1 & 2 / デッド・オブ・ザ・ブレイン１＆２","dead-of-the-brain-1-&-2","JP","SCD",1999,"NEC Home Electronics/Fairytale (F&C) / NECホームエレクトロニクス/フェアリーテール（エフアンドシー）"
"Dennou Tenshi - Digital Angel / 電脳天使 ～デジタルアンジュ～","dennou-tenshi-digital-angel","JP","SCD",1994,"Tokuma Intermedia / 徳間インターメディア"
"Develo Magazine Vol. 1","develo-magazine-vol.-1","JP","SCD",,
"Double Dragon II - The Revenge / 双載龍 DOUBLE DRAGON II The Revenge","double-dragon-ii-the-revenge","JP","SCD",1993,"naxat/Technos Japan / ナグザット/テクノスジャパン"
"Doukyūsei / 同級生","doukyūsei","JP","SCD",1995,"NEC Avenue/Flight Plan/elf / NECアベニュー/フライトプラン/エルフ"
"Downtown Nekketsu Soreyuke Daiundoukai / ダウンタウン熱血行進曲 それゆけ大運動会","downtown-nekketsu-soreyuke-daiundoukai","JP","SCD",1992,"naxat/Technos Japan / ナグザット/テクノスジャパン"
"Dragon Ball Z / ドラゴンボールZ 偉大なる孫悟空伝説","dragon-ball-z","JP","SCD",1994,"BANDAI / バンダイ"
"Dragon Knight II / ドラゴンナイトII","dragon-knight-ii","JP","SCD",1992,"NEC Avenue/elf / NECアベニュー/エルフ"
"Dragon Knight III / ドラゴンナイトIII","dragon-knight-iii","JP","SCD",1994,"NEC Avenue/elf / NECアベニュー/エルフ"
"Dragon Slayer - The Legend Of Heroes II / ドラゴンスレイヤー英雄伝説II","dragon-slayer-the-legend-of-heroes-ii","JP","SCD",1992,"Hudson/Alfa System/Falcom / ハドソン/アルファ・システム/日本ファルコム"
"Dynastic Hero / 超英雄伝説ダイナスティックヒーロー","dynastic-hero","JP","SCD",1994,"Hudson/Alfa System/Westone / ハドソン/アルファ・システム/ウエストン"
"Emerald Dragon / エメラルドドラゴン","emerald-dragon","JP","SCD",1994,"NEC Home Electronics/Alfa System/Media Works, Glodia, Right Stuff / NECホームエレクトロニクス/アルファ・システム"
"Exile II - Janen No Jishou / エグザイルII ～邪念の事象～","exile-ii-janen-no-jishou","JP","SCD",1992,"RIOT, Telenet Japan/Alfa System / ライオット, 日本テレネット/アルファ・システム"
"Faceball / フェイスボール","faceball","JP","SCD",1993,"Riverhill Soft / リバーヒルソフト"
"Far the Earth No Jakoutei - Neo Metal Fantasy / ファージアスの邪皇帝 - Neo Metal Fantasy","far-the-earth-no-jakoutei-neo-metal-fantasy","JP","SCD",1992,"Human / ヒューマン"
"Faussete amour / フォーセットアムール","faussete-amour","JP","SCD",1993,"naxat / ナグザット"
